Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
264,Moussa Sissoko,Tottenham,28,15(18),1396,1,1,3,-,0.6,83.5,0.5,-,6.46
265,Sam Vokes,Burnley,28,7(23),980,4,1,3,-,1.1,49.4,4.1,1,6.46
266,Elias Kachunga,Huddersfield,26,17(2),1338,1,1,1,-,0.6,66.4,0.9,-,6.46
267,Ramadan Sobhi,Stoke,21,12(12),1234,2,-,2,-,0.5,77,0.5,-,6.46
268,Tom Ince,Huddersfield,26,27(6),2456,2,-,-,-,2.1,79.6,0.5,-,6.45
269,Demarai Gray,Leicester,21,17(18),1693,3,1,2,-,1,79.4,0.1,1,6.45
270,Ashley Westwood,Burnley,28,12(7),1108,-,1,2,-,0.4,81.6,0.5,-,6.41
261,Simon Mignolet,Liverpool,30,19,1710,-,-,3,-,-,69.5,0.2,-,6.49
262,Darren Fletcher,Stoke,34,25(2),2223,1,1,-,-,0.4,78.5,0.8,-,6.48
263,Kelechi Iheanacho,Leicester,21,7(14),827,3,3,2,-,1.4,79.3,0.3,-,6.48
264,Moussa Sissoko,Tottenham,28,15(18),1396,1,1,3,-,0.6,83.5,0.5,-,6.46
265,Sam Vokes,Burnley,28,7(23),980,4,1,3,-,1.1,49.4,4.1,1,6.46
266,Elias Kachunga,Huddersfield,26,17(2),1338,1,1,1,-,0.6,66.4,0.9,-,6.46
267,Ramadan Sobhi,Stoke,21,12(12),1234,2,-,2,-,0.5,77,0.5,-,6.46
268,Tom Ince,Huddersfield,26,27(6),2456,2,-,-,-,2.1,79.6,0.5,-,6.45
269,Demarai Gray,Leicester,21,17(18),1693,3,1,2,-,1,79.4,0.1,1,6.45
270,Ashley Westwood,Burnley,28,12(7),1108,-,1,2,-,0.4,81.6,0.5,-,6.41
271,Tom Davies,Everton,19,20(13),1905,2,1,7,-,0.6,78,0.6,-,6.41
272,Tammy Abraham,Swansea,20,15(16),1721,5,1,-,-,1.4,67.7,1.3,2,6.41
273,Dominic Solanke,Liverpool,20,5(16),583,1,1,-,-,1,75.1,1,-,6.40
274,Ezequiel Schelotto,Brighton,29,15(5),1316,-,-,3,-,0.3,75.6,1.4,-,6.39
275,Collin Quaner,Huddersfield,26,13(13),1273,-,4,4,-,0.6,74.2,0.6,-,6.39
276,Scott Malone,Huddersfield,27,12(10),1118,-,1,3,-,0.4,72,0.6,-,6.38
277,Jermain Defoe,Bournemouth,35,11(13),1085,4,1,1,-,1.1,74,0.1,1,6.38
278,James McClean,West Bromwich Albion,29,14(16),1397,1,-,7,-,1,72.8,0.5,-,6.38
279,Danny Williams,Huddersfield,29,11(9),1118,-,-,2,-,0.6,77.1,0.5,-,6.35
280,Jeff Hendrick,Burnley,26,29(5),2343,2,2,1,-,0.7,81,0.4,-,6.33
271,Tom Davies,Everton,19,20(13),1905,2,1,7,-,0.6,78,0.6,-,6.41
272,Tammy Abraham,Swansea,20,15(16),1721,5,1,-,-,1.4,67.7,1.3,2,6.41
273,Dominic Solanke,Liverpool,20,5(16),583,1,1,-,-,1,75.1,1,-,6.40
274,Ezequiel Schelotto,Brighton,29,15(5),1316,-,-,3,-,0.3,75.6,1.4,-,6.39
275,Collin Quaner,Huddersfield,26,13(13),1273,-,4,4,-,0.6,74.2,0.6,-,6.39
276,Scott Malone,Huddersfield,27,12(10),1118,-,1,3,-,0.4,72,0.6,-,6.38
277,Jermain Defoe,Bournemouth,35,11(13),1085,4,1,1,-,1.1,74,0.1,1,6.38
278,James McClean,West Bromwich Albion,29,14(16),1397,1,-,7,-,1,72.8,0.5,-,6.38
279,Danny Williams,Huddersfield,29,11(9),1118,-,-,2,-,0.6,77.1,0.5,-,6.35
280,Jeff Hendrick,Burnley,26,29(5),2343,2,2,1,-,0.7,81,0.4,-,6.33
281,Martin Olsson,Swansea,30,36,3154,-,1,7,-,0.5,73.5,1.3,-,6.32
282,Marc Pugh,Bournemouth,31,11(9),983,-,-,2,-,1,80.2,0.4,-,6.31
283,Manolo Gabbiadini,Southampton,26,11(17),1076,5,-,2,-,0.8,70.9,0.5,-,6.30
284,Jacob Murphy,Newcastle United,23,13(12),1145,1,1,-,-,0.9,65.5,0.3,-,6.29
285,Lys Mousset,Bournemouth,22,4(19),585,2,-,1,-,1,63.4,0.3,-,6.29
286,Hal Robson-Kanu,West Bromwich Albion,29,8(13),822,2,-,2,1,0.9,67.2,1.1,1,6.28
287,Nathan Dyer,Swansea,30,16(8),1313,-,-,2,-,0.4,81.1,0.2,-,6.28
288,Joe Hart,West Ham,31,19,1710,-,1,-,-,-,44.3,0.2,1,6.27
289,Beram Kayal,Brighton,30,8(11),740,-,-,2,-,0.2,78.9,0.4,-,6.26
290,Andre Gray,Watford,26,16(15),1499,5,2,1,-,1.1,71.9,0.5,-,6.24
281,Martin Olsson,Swansea,30,36,3154,-,1,7,-,0.5,73.5,1.3,-,6.32
282,Marc Pugh,Bournemouth,31,11(9),983,-,-,2,-,1,80.2,0.4,-,6.31
283,Manolo Gabbiadini,Southampton,26,11(17),1076,5,-,2,-,0.8,70.9,0.5,-,6.30
284,Jacob Murphy,Newcastle United,23,13(12),1145,1,1,-,-,0.9,65.5,0.3,-,6.29
285,Lys Mousset,Bournemouth,22,4(19),585,2,-,1,-,1,63.4,0.3,-,6.29
286,Hal Robson-Kanu,West Bromwich Albion,29,8(13),822,2,-,2,1,0.9,67.2,1.1,1,6.28
287,Nathan Dyer,Swansea,30,16(8),1313,-,-,2,-,0.4,81.1,0.2,-,6.28
288,Joe Hart,West Ham,31,19,1710,-,1,-,-,-,44.3,0.2,1,6.27
289,Beram Kayal,Brighton,30,8(11),740,-,-,2,-,0.2,78.9,0.4,-,6.26
290,Andre Gray,Watford,26,16(15),1499,5,2,1,-,1.1,71.9,0.5,-,6.24
281,Martin Olsson,Swansea,30,36,3154,-,1,7,-,0.5,73.5,1.3,-,6.32
282,Marc Pugh,Bournemouth,31,11(9),983,-,-,2,-,1,80.2,0.4,-,6.31
283,Manolo Gabbiadini,Southampton,26,11(17),1076,5,-,2,-,0.8,70.9,0.5,-,6.30
284,Jacob Murphy,Newcastle United,23,13(12),1145,1,1,-,-,0.9,65.5,0.3,-,6.29
285,Lys Mousset,Bournemouth,22,4(19),585,2,-,1,-,1,63.4,0.3,-,6.29
286,Hal Robson-Kanu,West Bromwich Albion,29,8(13),822,2,-,2,1,0.9,67.2,1.1,1,6.28
287,Nathan Dyer,Swansea,30,16(8),1313,-,-,2,-,0.4,81.1,0.2,-,6.28
288,Joe Hart,West Ham,31,19,1710,-,1,-,-,-,44.3,0.2,1,6.27
289,Beram Kayal,Brighton,30,8(11),740,-,-,2,-,0.2,78.9,0.4,-,6.26
290,Andre Gray,Watford,26,16(15),1499,5,2,1,-,1.1,71.9,0.5,-,6.24
1,Alex Telles,FC Porto,25,30,2642,3,13,2,-,0.9,83.3,1.7,7,7.98
2,Jonas,Benfica,34,29(1),2473,34,6,2,-,4.4,77.9,1.6,11,7.91
3,Yacine Brahimi,FC Porto,28,32(1),2768,9,7,2,-,1.9,79.5,0.2,5,7.76
4,Moussa Marega,FC Porto,27,27(2),2410,22,4,1,-,3.3,67.3,1.2,4,7.69
5,Bas Dost,Sporting CP,29,29(1),2591,27,3,2,-,2.2,64.6,4.7,7,7.61
6,Ricardo Pereira,FC Porto,24,26(1),2271,2,4,3,-,0.7,80.3,1,3,7.59
7,Bruno Fernandes,Sporting CP,23,32(1),2806,11,8,6,-,2.8,75,0.7,6,7.55
8,Hector Herrera,FC Porto,28,26(3),2335,3,4,7,-,1.3,84.7,2.2,1,7.50
9,Sergio Oliveira,FC Porto,26,15(4),1339,4,2,4,-,1.5,81.9,1.2,-,7.48
10,Felipe,FC Porto,29,30,2694,3,-,5,1,1.3,83,4.5,-,7.46
11,Matheus Pereira,Chaves,22,24(3),2242,7,5,9,-,2.5,79.3,0.8,6,7.45
12,Raul Silva,Braga,28,24(1),2199,6,6,8,1,0.7,81.9,2,4,7.43
13,Gelson Martins,Sporting CP,23,30(1),2688,8,8,3,1,1.5,83.3,0.3,4,7.40
14,Ivan Marcano,FC Porto,30,29(1),2655,5,1,6,-,0.8,82.5,4,1,7.36
15,Jefferson,Braga,29,26,2340,-,9,4,-,0.6,80,0.7,3,7.36
16,Jardel,Benfica,32,26,2265,2,3,5,-,0.9,84.9,4,2,7.35
17,Ruben Ribeiro,Rio Ave,30,16,1440,3,3,3,-,2.3,82.1,0.5,1,7.35
18,Franco Cervi,Benfica,24,29(2),2382,3,8,1,-,1.2,77.5,0.3,4,7.30
19,Nildo Petrolina,Aves,32,23,1890,3,5,3,-,1.5,71.4,0.6,3,7.27
20,Vincent Aboubakar,FC Porto,26,25(3),2020,15,4,2,-,2.8,75.5,1.9,2,7.27
11,Matheus Pereira,Chaves,22,24(3),2242,7,5,9,-,2.5,79.3,0.8,6,7.45
12,Raul Silva,Braga,28,24(1),2199,6,6,8,1,0.7,81.9,2,4,7.43
13,Gelson Martins,Sporting CP,23,30(1),2688,8,8,3,1,1.5,83.3,0.3,4,7.40
14,Ivan Marcano,FC Porto,30,29(1),2655,5,1,6,-,0.8,82.5,4,1,7.36
15,Jefferson,Braga,29,26,2340,-,9,4,-,0.6,80,0.7,3,7.36
16,Jardel,Benfica,32,26,2265,2,3,5,-,0.9,84.9,4,2,7.35
17,Ruben Ribeiro,Rio Ave,30,16,1440,3,3,3,-,2.3,82.1,0.5,1,7.35
18,Franco Cervi,Benfica,24,29(2),2382,3,8,1,-,1.2,77.5,0.3,4,7.30
19,Nildo Petrolina,Aves,32,23,1890,3,5,3,-,1.5,71.4,0.6,3,7.27
20,Vincent Aboubakar,FC Porto,26,25(3),2020,15,4,2,-,2.8,75.5,1.9,2,7.27
21,William Carvalho,Sporting CP,26,24,2132,1,1,3,-,0.9,88.2,1.5,1,7.25
22,Alejandro Grimaldo,Benfica,22,28,2441,1,4,4,-,0.8,81.9,0.5,-,7.25
23,Shoya Nakajima,Portimonense,23,29,2504,10,10,1,-,2.9,77.5,-,4,7.24
24,Ricardo Esgaio,Braga,25,29(1),2572,4,10,8,-,0.8,78.2,1.3,-,7.24
25,Pizzi,Benfica,28,31(2),2664,6,6,5,-,1.4,84.1,0.4,2,7.23
26,Danilo Pereira,FC Porto,26,18(1),1542,1,-,5,-,1.1,87.7,2.6,1,7.22
27,Andrija Zivkovic,Benfica,21,17(4),1543,3,4,4,1,1.4,82.2,0.2,3,7.22
28,Marcos Acuna,Sporting CP,26,27(4),2296,4,5,7,-,1.5,76.5,0.6,3,7.19
29,Fabio Coentrao,Sporting CP,30,25,2056,1,2,7,-,0.7,80.9,1.6,-,7.18
30,Fabricio,Portimonense,28,27(2),2408,15,5,5,-,3.2,66.6,4.1,4,7.18
21,William Carvalho,Sporting CP,26,24,2132,1,1,3,-,0.9,88.2,1.5,1,7.25
22,Alejandro Grimaldo,Benfica,22,28,2441,1,4,4,-,0.8,81.9,0.5,-,7.25
23,Shoya Nakajima,Portimonense,23,29,2504,10,10,1,-,2.9,77.5,-,4,7.24
24,Ricardo Esgaio,Braga,25,29(1),2572,4,10,8,-,0.8,78.2,1.3,-,7.24
25,Pizzi,Benfica,28,31(2),2664,6,6,5,-,1.4,84.1,0.4,2,7.23
26,Danilo Pereira,FC Porto,26,18(1),1542,1,-,5,-,1.1,87.7,2.6,1,7.22
27,Andrija Zivkovic,Benfica,21,17(4),1543,3,4,4,1,1.4,82.2,0.2,3,7.22
28,Marcos Acuna,Sporting CP,26,27(4),2296,4,5,7,-,1.5,76.5,0.6,3,7.19
29,Fabio Coentrao,Sporting CP,30,25,2056,1,2,7,-,0.7,80.9,1.6,-,7.18
30,Fabricio,Portimonense,28,27(2),2408,15,5,5,-,3.2,66.6,4.1,4,7.18
31,Raphinha,Vitoria de Guimaraes,21,32,2793,15,4,4,-,2.3,65.1,0.4,4,7.18
32,Lubomir Fejsa,Benfica,29,28,2403,-,-,8,-,0.3,89.6,1,-,7.18
33,Bruno Viana,Braga,23,26,2340,4,1,7,-,0.6,84.8,2.2,1,7.16
34,Luisao,Benfica,37,16,1440,1,-,5,-,1.1,86.3,3.3,1,7.16
35,Raphael Rossi,Boavista,27,30,2700,3,-,11,-,0.5,74.6,4.8,5,7.15
36,Paulinho,Portimonense,23,18(1),1570,2,5,3,-,1.8,81.9,0.1,1,7.15
37,Cristiano Piccini,Sporting CP,25,24,2079,-,3,3,1,0.4,78.5,1.7,1,7.13
38,Andre Almeida,Benfica,27,31,2703,2,7,7,-,0.6,78.5,2,-,7.12
39,Ricardo Horta,Braga,23,23(7),2063,11,8,2,-,2.2,79,0.1,3,7.10
40,Sebastian Coates,Sporting CP,27,34,3060,2,1,4,-,0.9,83.5,2.5,1,7.10
31,Raphinha,Vitoria de Guimaraes,21,32,2793,15,4,4,-,2.3,65.1,0.4,4,7.18
32,Lubomir Fejsa,Benfica,29,28,2403,-,-,8,-,0.3,89.6,1,-,7.18
33,Bruno Viana,Braga,23,26,2340,4,1,7,-,0.6,84.8,2.2,1,7.16
34,Luisao,Benfica,37,16,1440,1,-,5,-,1.1,86.3,3.3,1,7.16
35,Raphael Rossi,Boavista,27,30,2700,3,-,11,-,0.5,74.6,4.8,5,7.15
36,Paulinho,Portimonense,23,18(1),1570,2,5,3,-,1.8,81.9,0.1,1,7.15
37,Cristiano Piccini,Sporting CP,25,24,2079,-,3,3,1,0.4,78.5,1.7,1,7.13
38,Andre Almeida,Benfica,27,31,2703,2,7,7,-,0.6,78.5,2,-,7.12
39,Ricardo Horta,Braga,23,23(7),2063,11,8,2,-,2.2,79,0.1,3,7.10
40,Sebastian Coates,Sporting CP,27,34,3060,2,1,4,-,0.9,83.5,2.5,1,7.10
41,Wilson Eduardo,Braga,27,15(1),1174,7,1,-,-,2.5,69.9,1.1,3,7.10
42,Paulinho,Braga,25,22(8),2123,13,3,2,-,2.3,68.1,1.5,4,7.09
43,Rafik Halliche,Estoril,31,22(1),2020,2,-,3,1,0.5,83.8,3.9,2,7.08
44,Tomane,Tondela,25,30(2),2687,9,7,10,-,2.2,57.6,4.8,3,7.06
45,Eduardo Salvio,Benfica,27,19(7),1608,9,4,4,-,1.9,81,0.2,1,7.05
46,Jesus Manuel Corona,FC Porto,25,18(9),1448,3,3,5,1,0.8,82.8,0.6,1,7.04
47,Lucas Evangelista,Estoril,23,34,3005,4,3,4,-,2.6,78.6,1.7,3,7.03
48,Rafa,Benfica,25,13(7),1215,3,4,-,-,1.5,73.2,0.7,1,7.02
49,Marcelo Goiano,Braga,30,28,2436,-,1,5,-,0.4,81.1,0.8,-,7.01
50,Andre Horta,Braga,21,17(5),1475,1,6,2,-,1,86.7,0.1,-,7.01
41,Wilson Eduardo,Braga,27,15(1),1174,7,1,-,-,2.5,69.9,1.1,3,7.10
42,Paulinho,Braga,25,22(8),2123,13,3,2,-,2.3,68.1,1.5,4,7.09
43,Rafik Halliche,Estoril,31,22(1),2020,2,-,3,1,0.5,83.8,3.9,2,7.08
44,Tomane,Tondela,25,30(2),2687,9,7,10,-,2.2,57.6,4.8,3,7.06
45,Eduardo Salvio,Benfica,27,19(7),1608,9,4,4,-,1.9,81,0.2,1,7.05
46,Jesus Manuel Corona,FC Porto,25,18(9),1448,3,3,5,1,0.8,82.8,0.6,1,7.04
47,Lucas Evangelista,Estoril,23,34,3005,4,3,4,-,2.6,78.6,1.7,3,7.03
48,Rafa,Benfica,25,13(7),1215,3,4,-,-,1.5,73.2,0.7,1,7.02
49,Marcelo Goiano,Braga,30,28,2436,-,1,5,-,0.4,81.1,0.8,-,7.01
50,Andre Horta,Braga,21,17(5),1475,1,6,2,-,1,86.7,0.1,-,7.01
51,Yuri Ribeiro,Rio Ave,21,24(1),2169,1,6,3,1,0.2,78.3,1.9,1,6.99
52,David Simao,Boavista,28,25(2),2257,1,4,9,-,0.7,79.9,0.5,1,6.99
53,Babanco,Feirense,32,27(2),2372,2,1,14,-,0.6,74.6,2.3,2,6.99
54,Pablo Santos,Maritimo,26,20,1786,1,-,7,-,0.7,80.9,2.8,1,6.98
55,Danilo,Braga,22,15(16),1537,4,3,6,-,1.2,81.8,1.1,2,6.98
56,Zainadine Junior,Maritimo,29,30,2657,1,1,8,1,0.5,70.2,2.6,3,6.96
57,Ruben Dias,Benfica,21,24,2151,3,-,4,-,0.4,85.2,1.9,-,6.95
58,Bebeto,Maritimo,28,32,2841,2,3,7,-,0.2,69.4,1.6,1,6.94
59,Victor Andrade,Estoril,22,13(4),1154,-,-,3,1,2.3,71.8,0.3,1,6.94
60,Ruben Lima,Moreirense,28,33,2970,-,2,3,-,-,60,2,1,6.93
51,Yuri Ribeiro,Rio Ave,21,24(1),2169,1,6,3,1,0.2,78.3,1.9,1,6.99
52,David Simao,Boavista,28,25(2),2257,1,4,9,-,0.7,79.9,0.5,1,6.99
53,Babanco,Feirense,32,27(2),2372,2,1,14,-,0.6,74.6,2.3,2,6.99
54,Pablo Santos,Maritimo,26,20,1786,1,-,7,-,0.7,80.9,2.8,1,6.98
55,Danilo,Braga,22,15(16),1537,4,3,6,-,1.2,81.8,1.1,2,6.98
56,Zainadine Junior,Maritimo,29,30,2657,1,1,8,1,0.5,70.2,2.6,3,6.96
57,Ruben Dias,Benfica,21,24,2151,3,-,4,-,0.4,85.2,1.9,-,6.95
58,Bebeto,Maritimo,28,32,2841,2,3,7,-,0.2,69.4,1.6,1,6.94
59,Victor Andrade,Estoril,22,13(4),1154,-,-,3,1,2.3,71.8,0.3,1,6.94
60,Ruben Lima,Moreirense,28,33,2970,-,2,3,-,-,60,2,1,6.93
61,Pedro Sa,Portimonense,24,28,2399,1,-,12,-,0.6,78,2.7,1,6.92
62,Alfa Semedo,Moreirense,20,27(1),2388,2,-,7,-,1.3,70.4,2.2,2,6.92
63,Patrick Oliveira,Vitoria de Setubal,27,14(2),1207,2,3,2,-,0.8,75.9,0.5,1,6.91
64,Flavio Ramos,Feirense,24,29,2578,1,2,7,-,0.6,65.8,2.9,-,6.91
65,Pele,Rio Ave,26,31,2743,7,1,8,-,0.8,85.2,0.8,-,6.90
66,Nuno Pinto,Vitoria de Setubal,31,27,2348,1,6,6,1,0.3,71.1,0.7,2,6.90
67,Nikola Vukcevic,Braga,26,30(1),2611,2,2,10,-,0.5,86.3,1.1,-,6.90
68,Pedro Tiba,Chaves,29,31,2701,9,6,4,-,2.2,83.4,0.2,-,6.89
69,Marcelo,Rio Ave,28,30,2621,-,-,10,1,0.3,82.3,2,1,6.88
70,Jeremy Mathieu,Sporting CP,34,29,2469,2,1,3,1,0.8,89,1.7,-,6.88
61,Pedro Sa,Portimonense,24,28,2399,1,-,12,-,0.6,78,2.7,1,6.92
62,Alfa Semedo,Moreirense,20,27(1),2388,2,-,7,-,1.3,70.4,2.2,2,6.92
63,Patrick Oliveira,Vitoria de Setubal,27,14(2),1207,2,3,2,-,0.8,75.9,0.5,1,6.91
64,Flavio Ramos,Feirense,24,29,2578,1,2,7,-,0.6,65.8,2.9,-,6.91
65,Pele,Rio Ave,26,31,2743,7,1,8,-,0.8,85.2,0.8,-,6.90
66,Nuno Pinto,Vitoria de Setubal,31,27,2348,1,6,6,1,0.3,71.1,0.7,2,6.90
67,Nikola Vukcevic,Braga,26,30(1),2611,2,2,10,-,0.5,86.3,1.1,-,6.90
68,Pedro Tiba,Chaves,29,31,2701,9,6,4,-,2.2,83.4,0.2,-,6.89
69,Marcelo,Rio Ave,28,30,2621,-,-,10,1,0.3,82.3,2,1,6.88
70,Jeremy Mathieu,Sporting CP,34,29,2469,2,1,3,1,0.8,89,1.7,-,6.88
71,Joao Novais,Rio Ave,24,24(5),2129,8,3,4,-,2.8,76,0.4,4,6.88
72,Tiquinho Soares,FC Porto,27,11(13),1094,8,4,1,-,2.2,68.9,1.5,3,6.88
73,Mohamed Abarhoune,Moreirense,29,23,2054,1,-,5,-,0.2,78.4,1.7,1,6.87
74,Fredy Ribeiro,Belenenses,28,18(2),1614,2,4,5,-,1.2,75.6,0.4,1,6.87
75,Tiago Silva,Feirense,25,29,2458,3,7,12,1,1.1,74.2,0.4,1,6.86
76,Edgar Costa,Maritimo,31,19(2),1502,2,4,2,-,0.7,60.8,1,-,6.85
77,Ghislain Konan,Vitoria de Guimaraes,22,25,2219,-,2,2,-,0.2,78.6,1.4,1,6.85
78,Cassio,Rio Ave,37,29,2610,-,-,3,-,-,77.2,0.5,2,6.85
79,Lucas Possignolo,Portimonense,24,26,2290,1,-,4,1,0.6,78.2,2.2,-,6.85
80,Alex Kakuba,Feirense,26,18(2),1719,-,1,3,-,0.3,68.4,1,-,6.85
71,Joao Novais,Rio Ave,24,24(5),2129,8,3,4,-,2.8,76,0.4,4,6.88
72,Tiquinho Soares,FC Porto,27,11(13),1094,8,4,1,-,2.2,68.9,1.5,3,6.88
73,Mohamed Abarhoune,Moreirense,29,23,2054,1,-,5,-,0.2,78.4,1.7,1,6.87
74,Fredy Ribeiro,Belenenses,28,18(2),1614,2,4,5,-,1.2,75.6,0.4,1,6.87
75,Tiago Silva,Feirense,25,29,2458,3,7,12,1,1.1,74.2,0.4,1,6.86
76,Edgar Costa,Maritimo,31,19(2),1502,2,4,2,-,0.7,60.8,1,-,6.85
77,Ghislain Konan,Vitoria de Guimaraes,22,25,2219,-,2,2,-,0.2,78.6,1.4,1,6.85
78,Cassio,Rio Ave,37,29,2610,-,-,3,-,-,77.2,0.5,2,6.85
79,Lucas Possignolo,Portimonense,24,26,2290,1,-,4,1,0.6,78.2,2.2,-,6.85
80,Alex Kakuba,Feirense,26,18(2),1719,-,1,3,-,0.3,68.4,1,-,6.85
81,Hector Quinones,Pacos de Ferreira,26,14(3),1239,1,-,5,-,0.5,77.5,1.7,1,6.85
82,Toze,Moreirense,25,23(3),2094,8,2,6,-,2.3,74.4,0.4,2,6.84
83,Paolo Hurtado,Vitoria de Guimaraes,27,21(4),1762,11,5,5,-,1.8,78.6,0.8,2,6.84
84,Maurides,Belenenses,24,23(10),2220,8,2,4,-,1.5,65.2,5.6,3,6.84
85,Caio Secco,Feirense,27,33,2888,-,-,4,-,-,42.4,0.4,2,6.84
86,Fabio Pacheco,Maritimo,30,17,1486,1,-,4,1,0.4,79.6,1.3,1,6.83
87,Oliver Torres,FC Porto,23,8(11),930,-,3,2,-,0.4,83,0.1,1,6.83
88,Goncalo Paciencia,Vitoria de Setubal,23,16(2),1374,5,3,3,-,2.7,53.2,2,1,6.83
89,Davidson da Luz Pereira,Chaves,27,29(4),2371,5,6,2,-,1.6,79.7,0.8,2,6.83
90,Muriel,Belenenses,31,17,1492,-,-,2,-,-,59.3,0.2,1,6.82
81,Hector Quinones,Pacos de Ferreira,26,14(3),1239,1,-,5,-,0.5,77.5,1.7,1,6.85
82,Toze,Moreirense,25,23(3),2094,8,2,6,-,2.3,74.4,0.4,2,6.84
83,Paolo Hurtado,Vitoria de Guimaraes,27,21(4),1762,11,5,5,-,1.8,78.6,0.8,2,6.84
84,Maurides,Belenenses,24,23(10),2220,8,2,4,-,1.5,65.2,5.6,3,6.84
85,Caio Secco,Feirense,27,33,2888,-,-,4,-,-,42.4,0.4,2,6.84
86,Fabio Pacheco,Maritimo,30,17,1486,1,-,4,1,0.4,79.6,1.3,1,6.83
87,Oliver Torres,FC Porto,23,8(11),930,-,3,2,-,0.4,83,0.1,1,6.83
88,Goncalo Paciencia,Vitoria de Setubal,23,16(2),1374,5,3,3,-,2.7,53.2,2,1,6.83
89,Davidson da Luz Pereira,Chaves,27,29(4),2371,5,6,2,-,1.6,79.7,0.8,2,6.83
90,Muriel,Belenenses,31,17,1492,-,-,2,-,-,59.3,0.2,1,6.82
91,Nuno Tomas,Belenenses,22,26(1),2348,3,1,5,1,0.6,76.5,2,-,6.81
92,Helder Guedes,Rio Ave,31,30(2),2577,10,4,4,-,1.9,70.6,2.2,3,6.81
93,Rodrigo Battaglia,Sporting CP,26,21(12),2061,1,2,4,-,0.5,83.4,1.8,2,6.81
94,Matheus,Braga,25,34,3060,-,-,2,-,-,60.4,0.4,-,6.81
95,Heldon,Vitoria de Guimaraes,29,25(4),2064,5,6,3,-,1.3,57.7,0.7,3,6.81
96,Emmanuel Hackman,Portimonense,23,26(1),2289,-,2,5,2,0.2,71.1,2.1,-,6.81
97,Miguel Vieira,Pacos de Ferreira,27,30(2),2785,4,2,4,-,0.8,73.1,2.9,1,6.81
98,Renan Bardini Bressan,Chaves,29,30(2),2511,5,4,3,-,1.5,85,0.3,2,6.81
99,Idris,Boavista,33,25(2),2256,-,1,6,-,0.5,72.7,2.5,-,6.81
100,Rodrigo Soares,Aves,25,27,2415,1,1,3,1,0.5,76.7,0.6,1,6.81
91,Nuno Tomas,Belenenses,22,26(1),2348,3,1,5,1,0.6,76.5,2,-,6.81
92,Helder Guedes,Rio Ave,31,30(2),2577,10,4,4,-,1.9,70.6,2.2,3,6.81
93,Rodrigo Battaglia,Sporting CP,26,21(12),2061,1,2,4,-,0.5,83.4,1.8,2,6.81
94,Matheus,Braga,25,34,3060,-,-,2,-,-,60.4,0.4,-,6.81
95,Heldon,Vitoria de Guimaraes,29,25(4),2064,5,6,3,-,1.3,57.7,0.7,3,6.81
96,Emmanuel Hackman,Portimonense,23,26(1),2289,-,2,5,2,0.2,71.1,2.1,-,6.81
97,Miguel Vieira,Pacos de Ferreira,27,30(2),2785,4,2,4,-,0.8,73.1,2.9,1,6.81
98,Renan Bardini Bressan,Chaves,29,30(2),2511,5,4,3,-,1.5,85,0.3,2,6.81
99,Idris,Boavista,33,25(2),2256,-,1,6,-,0.5,72.7,2.5,-,6.81
100,Rodrigo Soares,Aves,25,27,2415,1,1,3,1,0.5,76.7,0.6,1,6.81
101,Miguel Cardoso,Tondela,23,30(2),2612,8,6,9,-,1.6,61.7,0.8,2,6.81
102,Dener,Portimonense,26,21(8),1791,3,1,2,-,1,75,1.8,2,6.80
103,Diogo Viana,Belenenses,28,27(1),2258,-,2,7,-,1.1,79.4,0.6,1,6.80
104,Joaozinho,Tondela,28,31,2756,-,-,4,1,-,64.7,1.5,-,6.80
105,Florent Hanin,Belenenses,28,34,3060,-,5,3,-,0.5,76.1,1.2,2,6.79
106,Claudio Ramos,Tondela,26,34,3060,-,1,2,-,-,44.4,0.4,4,6.79
107,Adriano Facchini,Aves,35,20,1758,-,-,1,-,-,42.9,0.8,1,6.79
108,Renan Ribeiro,Estoril,28,17,1530,-,-,4,-,-,70.5,0.7,-,6.78
109,Oghenekaro Etebo,Feirense,22,18,1620,4,1,5,-,2,77,0.7,-,6.78
110,Carlos Ponck,Aves,23,29,2610,1,-,5,-,0.3,77.4,1.7,1,6.78
101,Miguel Cardoso,Tondela,23,30(2),2612,8,6,9,-,1.6,61.7,0.8,2,6.81
102,Dener,Portimonense,26,21(8),1791,3,1,2,-,1,75,1.8,2,6.80
103,Diogo Viana,Belenenses,28,27(1),2258,-,2,7,-,1.1,79.4,0.6,1,6.80
104,Joaozinho,Tondela,28,31,2756,-,-,4,1,-,64.7,1.5,-,6.80
105,Florent Hanin,Belenenses,28,34,3060,-,5,3,-,0.5,76.1,1.2,2,6.79
106,Claudio Ramos,Tondela,26,34,3060,-,1,2,-,-,44.4,0.4,4,6.79
107,Adriano Facchini,Aves,35,20,1758,-,-,1,-,-,42.9,0.8,1,6.79
108,Renan Ribeiro,Estoril,28,17,1530,-,-,4,-,-,70.5,0.7,-,6.78
109,Oghenekaro Etebo,Feirense,22,18,1620,4,1,5,-,2,77,0.7,-,6.78
110,Carlos Ponck,Aves,23,29,2610,1,-,5,-,0.3,77.4,1.7,1,6.78
111,Nelson Lenho,Aves,34,22,1904,-,2,9,-,-,72.4,0.5,-,6.78
112,Joao Talocha,Boavista,28,30,2700,1,2,5,-,0.4,72,1.6,1,6.78
